first,second,third,freq
turned,look,professor,47
professor,mcgonagall,might,47
first,year,students,47
sat,behind,desk,47
ron,hermione,ginny,47
would,professor,mcgonagall,47
note,professor,snape,47
professor,snape,best,47
professor,sprout,gave,47
professor,snape,caught,47
students,professor,mcgonagall,47
professor,sprout,looked,47
hello,professor,dumbledore,47
help,professor,mcgonagall,47
snape,head,slytherin,47
say,anything,professor,47
inform,professor,mcgonagall,47
away,professor,mcgonagall,47
table,professor,snape,47
professor,slughorn,came,47
professor,flitwick,classroom,47
dark,force,defence,47
force,defence,league,47
professor,mcgonagall,yelled,46
professor,mcgonagall,greeted,46
professor,mcgonagall,neville,46
call,sir,professor,46
look,professor,face,46
care,professor,snape,46
professor,trelawney,looked,46
harry,knew,professor,46
especially,professor,snape,46
professor,mcgonagall,moved,46
master,professor,snape,46
ran,professor,mcgonagall,46
ten,minutes,later,46
professor,lupin,seemed,46
severus,snape,professor,46
would,also,like,46
evening,professor,dumbledore,46
dumbledore,harry,said,46
around,saw,professor,46
gilderoy,lockhart,order,46
lockhart,order,merlin,46
professor,lupin,hermione,46
ts,tllp,ts,46
say,professor,mcgonagall,45
professor,snape,room,45
dumbledore,said,harry,45
interrupted,professor,mcgonagall,45
professor,snape,giving,45
outside,professor,mcgonagall,45
ca,believe,professor,45
things,professor,snape,45
professor,mcgonagall,reached,45
professor,binns,history,45
one,thing,professor,45
professor,mcgonagall,suddenly,45
professor,snape,answered,45
harry,turned,around,45
professor,mcgonagall,offered,45
lesson,professor,snape,45
professor,ron,said,45
sat,professor,mcgonagall,45
professor,binns,droned,45
maybe,professor,snape,45
professor,snape,informed,45
professor,binns,class,45
mind,professor,snape,45
note,professor,mcgonagall,45
professor,mcgonagall,saying,45
professor,care,magical,45
wulfric,brian,dumbledore,45
like,professor,trelawney,45
office,professor,dumbledore,44
miss,weasley,professor,44
got,professor,mcgonagall,44
professor,snape,strode,44
harry,followed,professor,44
thinking,professor,snape,44
snape,head,house,44
talked,professor,dumbledore,44
going,see,professor,44
professor,mcgonagall,something,44
professor,lupin,still,44
professor,mcgonagall,cried,44
least,favorite,professor,44
form,professor,snape,44
professor,snape,sighed,44
professor,mcgonagall,mentioned,44
professor,snape,explained,44
harry,told,professor,44
professor,mcgonagall,set,44
telling,professor,mcgonagall,44
professor,dumbledore,arrived,44
muggle,studies,teacher,44
tiny,charms,professor,44
moments,later,professor,44
dark,arts,hogwarts,44
professor,mcgonagall,actually,44
professor,mcgonagall,added,44
professor,mcgonagall,turning,44
professor,snape,heard,44
come,professor,snape,44
look,like,professor,44
attention,back,professor,44
mcgonagall,entered,room,44
sitting,next,professor,44
sorry,professor,dumbledore,44
teacher,professor,snape,44
professor,dumbledore,decided,44
straight,professor,mcgonagall,44
head,hufflepuff,house,44
professor,flitwick,harry,44
one,last,time,44
professor,slughorn,professor,44
tllp,ts,tllp,44
professor,mcgonagall,staring,43
would,like,welcome,43
hear,professor,mcgonagall,43
professor,dumbledore,something,43
hermione,granger,professor,43
professor,snape,interrupted,43
followed,professor,dumbledore,43
professor,dumbledore,back,43
hello,professor,harry,43
professor,dumbledore,also,43
professor,mcgonagall,helped,43
yes,sir,professor,43
professor,snape,life,43
pomfrey,professor,dumbledore,43
professor,snape,staring,43
professor,hagrid,said,43
professor,binns,ghost,43
professor,snape,ron,43
gave,small,smile,43
asked,professor,slughorn,43
professor,snape,managed,43
teaching,defense,dark,43
mr,potter,said,43
professor,snape,potion,43
years,ago,professor,43
professor,snape,portrait,43
professor,snape,course,43
former,death,eater,43
back,great,hall,43
